Oberflächen / Papierarten für Fotoabzüge
Oberfläche;Grammatur (g/m²);Material;FSC-zertifiziert;Beschreibung
glänzend;250;Fujifilm Crystal Archive DP II Professional Fotopapier;nein;Brillante Farben, hervorragender Kontrast und beeindruckende Tiefe, perfekt für Schwarzweiß- und Farbfotografien. Dickeres Silberhalogenidpapier für Langlebigkeit, tiefe satte Schwarztöne und gestochen scharfe Details in allen Formaten.
matt;234;Fujifilm Crystal Archive DP II Professional Fotopapier;nein;Natürliches, elegantes Aussehen mit minimalen Reflexionen und reduzierter Sichtbarkeit von Fingerabdrücken. Langlebiges Silberhalogenid-Papier mit reinen Weißtönen, lang anhaltender Farbstabilität und raffiniertem Finish.
Silk;232;Fujifilm Crystal Archive DP II Professional Fotopapier (Silk Portrait);nein;"Feine Seidenrasterstruktur, hebt Porträts mit weicher Zeichnung und natürlichen Schatten hervor. Ideal für Hochzeiten, Schulfotos und professionelle Porträtaufnahmen; lebendige Farbwiedergabe, integrierter Scanschutz und Copyright-Hinweis."
Art Line;250;Digitaldruck auf Art Line Papier;ja;Leicht raue, samtige Textur mit hervorragender Farbwiedergabe und einzigartiger Haptik. Nachhaltiges Papier zu 100% aus Sekundärfasern, kombiniert umweltfreundliche Produktion mit hochwertigem Digitaldruck.
Kunstdruck;250;Digitaldruck auf Art Print Papier;nein;Hochwertiges Druckverfahren auf fein strukturierter Oberfläche. Die dezente Struktur verleiht Bildern Tiefe und Charakter und sorgt für ein elegantes, künstlerisches Finish.
SoftTouch matt;300;Klassisches Papier mit Laminierfolie;ja;"Besonders glatte Textur, erinnert an Pfirsichhaut oder Rosenblüten. Sehr matte Oberfläche mit hoher Farbintensität; luxuriöse Optik und Haptik für hochwertige Präsentationen."

Verfügbare Formate für Fotoabzüge (gilt für alle Oberflächen oben)
Format (cm);Seitenverhältnis
9 x 13;~2:3
10 x 15;~2:3
13 x 18;~2:3
13 x 19;~2:3
15 x 21;~2:3
15 x 22;~2:3
20 x 30;~2:3
21 x 30;~2:3
30 x 45;~2:3
12 x 16;~3:4
13 x 17;~3:4
15 x 20;~3:4
18 x 24;~3:4
30 x 40;~3:4
17 x 30;~3:5
10 x 13;~4:5
20 x 25;~4:5
24 x 30;~4:5
10 x 20;Panorama
10 x 10;Quadratisch
13 x 13;Quadratisch
15 x 15;Quadratisch
20 x 20;Quadratisch
30 x 30;Quadratisch
